Streaming output truncated to the last 5000 lines.
episode 1227 frame 617429 score 200.0 curiosity 0.20035691559314728
episode 1228 frame 617881 score 200.0 curiosity 0.2911848723888397
episode 1229 frame 618327 score 200.0 curiosity 0.16491151228547096
episode 1230 frame 618786 score 200.0 curiosity 0.14431246556341648
episode 1231 frame 619339 score 400.0 curiosity 0.33663110435009
episode 1232 frame 619927 score 400.0 curiosity 0.3209036700427532
episode 1233 frame 620570 score 800.0 curiosity 0.3760560676455498
episode 1234 frame 620958 score 200.0 curiosity 0.144109308719635
episode 1235 frame 621501 score 600.0 curiosity 0.21801148355007172
episode 1236 frame 622072 score 600.0 curiosity 0.5964889228343964
episode 1237 frame 622605 score 600.0 curiosity 0.29508171044290066
episode 1238 frame 623117 score 400.0 curiosity 0.14671676605939865
episode 1239 frame 623710 score 800.0 curiosity 0.18115247786045074
episode 1240 frame 624436 score 1200.0 curiosity 0.3412553481757641
episode 1241 frame 624801 score 200.0 curiosity 0.13683275878429413
episode 1242 frame 625410 score 600.0 curiosity 0.15460182819515467
episode 1243 frame 626146 score 1000.0 curiosity 0.5965570583939552
episode 1244 frame 626773 score 800.0 curiosity 0.48182512819767
episode 1245 frame 627490 score 800.0 curiosity 0.5111546101397835
episode 1246 frame 628089 score 600.0 curiosity 0.3178135082125664
episode 1247 frame 628881 score 1200.0 curiosity 0.48405089043080807
episode 1248 frame 629638 score 1200.0 curiosity 0.6482993513345718
episode 1249 frame 630280 score 800.0 curiosity 0.4262350983917713
episode 1250 frame 630653 score 200.0 curiosity 0.21513988077640533
episode 1251 frame 631253 score 600.0 curiosity 0.4276201017200947
episode 1252 frame 631703 score 400.0 curiosity 0.23476864770054817
episode 1253 frame 632325 score 400.0 curiosity 0.30675411969423294
episode 1254 frame 632942 score 600.0 curiosity 0.5824060589075089
episode 1255 frame 633540 score 600.0 curiosity 0.3356558047235012
episode 1256 frame 634158 score 600.0 curiosity 0.3210356533527374
episode 1257 frame 634891 score 800.0 curiosity 0.4491809159517288
episode 1258 frame 635539 score 800.0 curiosity 0.7267979234457016
episode 1259 frame 636294 score 600.0 curiosity 1.0340309869498014
episode 1260 frame 636894 score 800.0 curiosity 0.3003176711499691
episode 1261 frame 637606 score 1200.0 curiosity 0.34327780827879906
episode 1262 frame 638231 score 600.0 curiosity 0.34974665904883295
episode 1263 frame 638987 score 1400.0 curiosity 0.7115802392363548
episode 1264 frame 639561 score 800.0 curiosity 0.21357454732060432
