Streaming output truncated to the last 5000 lines.
episode 1829 frame 971018 score 1400.0 curiosity 0.24907052516937256
episode 1830 frame 972113 score 2000.0 curiosity 0.478388287127018
episode 1831 frame 972999 score 1400.0 curiosity 0.344030175358057
episode 1832 frame 973674 score 1000.0 curiosity 0.20707315928302705
episode 1833 frame 974469 score 1400.0 curiosity 0.2143079861998558
episode 1834 frame 975484 score 1800.0 curiosity 0.34931741282343864
episode 1835 frame 976025 score 600.0 curiosity 0.06999829411506653
episode 1836 frame 976853 score 1200.0 curiosity 0.24154648929834366
episode 1837 frame 977686 score 1800.0 curiosity 0.25334423780441284
episode 1838 frame 979122 score 3200.0 curiosity 0.5793616212904453
episode 1839 frame 980406 score 2600.0 curiosity 0.5082647204399109
episode 1840 frame 981193 score 1400.0 curiosity 0.24402515962719917
episode 1841 frame 981752 score 600.0 curiosity 0.20935232937335968
episode 1842 frame 982371 score 600.0 curiosity 0.245144072920084
episode 1843 frame 983142 score 1200.0 curiosity 0.25452613830566406
episode 1844 frame 983801 score 1000.0 curiosity 0.2887110114097595
episode 1845 frame 984519 score 1000.0 curiosity 0.3803313672542572
episode 1846 frame 985146 score 400.0 curiosity 0.3133833669126034
episode 1847 frame 986486 score 3600.0 curiosity 0.6356781125068665
episode 1848 frame 987017 score 400.0 curiosity 0.12410039827227592
episode 1849 frame 987626 score 400.0 curiosity 0.22231144830584526
episode 1850 frame 988458 score 1200.0 curiosity 0.2969572991132736
episode 1851 frame 989299 score 1400.0 curiosity 0.3186005502939224
episode 1852 frame 989779 score 400.0 curiosity 0.0928991436958313
episode 1853 frame 990318 score 400.0 curiosity 0.07033414972829632
episode 1854 frame 991097 score 1000.0 curiosity 0.43496569246053696
episode 1855 frame 991858 score 1400.0 curiosity 0.37936510890722275
episode 1856 frame 992753 score 2000.0 curiosity 0.46404067426919937
episode 1857 frame 993552 score 1400.0 curiosity 0.2751110941171646
episode 1858 frame 994413 score 1000.0 curiosity 0.31205811351537704
episode 1859 frame 995143 score 1000.0 curiosity 0.25171851366758347
episode 1860 frame 995827 score 1200.0 curiosity 0.07490871846675873
episode 1861 frame 996307 score 400.0 curiosity 0.1635071039199829
episode 1862 frame 996963 score 600.0 curiosity 0.17813046276569366
episode 1863 frame 997612 score 400.0 curiosity 0.2360256239771843
episode 1864 frame 998344 score 1400.0 curiosity 0.25993508845567703
episode 1865 frame 999234 score 1400.0 curiosity 0.31352970004081726
episode 1866 frame 999933 score 1000.0 curiosity 0.10090368986129761
episode 1867 frame 1000718 score 2000.0 curiosity 0.289225772023201
episode 1868 frame 1001383 score 800.0 curiosity 0.2489824891090393
episode 1869 frame 1001953 score 400.0 curiosity 0.18030746781732887
episode 1870 frame 1002500 score 600.0 curiosity 0.08166418224573135
episode 1871 frame 1003138 score 800.0 curiosity 0.25932860746979713
episode 1872 frame 1003749 score 600.0 curiosity 0.11244677752256393
episode 1873 frame 1004489 score 1400.0 curiosity 0.1084984764456749
episode 1874 frame 1005603 score 2400.0 curiosity 0.4401285722851753
episode 1875 frame 1006307 score 1200.0 curiosity 0.24061790853738785
episode 1876 frame 1006996 score 1000.0 curiosity 0.15459483861923218
episode 1877 frame 1007524 score 600.0 curiosity 0.09566115960478783
episode 1878 frame 1008280 score 1200.0 curiosity 0.09536234103143215
episode 1879 frame 1008846 score 800.0 curiosity 0.04773462563753128
