Streaming output truncated to the last 5000 lines.
episode 1191 frame 801195 score 600.0 curiosity 0.40558829105793276
episode 1192 frame 802088 score 1200.0 curiosity 0.23149706963868344
episode 1193 frame 803266 score 2200.0 curiosity 0.10070546863177264
episode 1194 frame 803963 score 800.0 curiosity 0.07496321825868588
episode 1195 frame 805020 score 1600.0 curiosity 0.170016546921113
episode 1196 frame 806320 score 2800.0 curiosity 0.1706724888841609
episode 1197 frame 806852 score 200.0 curiosity 0.09885874816909651
episode 1198 frame 807587 score 800.0 curiosity 0.20028712079454503
episode 1199 frame 808272 score 600.0 curiosity 0.8770384712160676
episode 1200 frame 808987 score 400.0 curiosity 0.2765447135943243
episode 1201 frame 809681 score 600.0 curiosity 0.3816254038748845
episode 1202 frame 810789 score 2200.0 curiosity 0.14514130322168506
episode 1203 frame 811637 score 1400.0 curiosity 0.10417448817720248
episode 1204 frame 812236 score 400.0 curiosity 0.3180253281201998
episode 1205 frame 813753 score 3400.0 curiosity 0.14587148780721929
episode 1206 frame 814486 score 800.0 curiosity 0.14300404892382318
episode 1207 frame 815161 score 600.0 curiosity 0.2294315343980238
episode 1208 frame 815958 score 1200.0 curiosity 0.3381470239025973
episode 1209 frame 816663 score 400.0 curiosity 0.12622046556726457
episode 1210 frame 817794 score 1800.0 curiosity 0.2364887821280822
episode 1211 frame 819169 score 2800.0 curiosity 0.17702887651508975
episode 1212 frame 819986 score 1200.0 curiosity 0.7743576670825593
episode 1213 frame 821464 score 3000.0 curiosity 0.3808665564830607
episode 1214 frame 822144 score 400.0 curiosity 0.797715923330045
episode 1215 frame 823412 score 3000.0 curiosity 0.33206970246804235
episode 1216 frame 824060 score 200.0 curiosity 0.4567650310460861
episode 1217 frame 824856 score 1000.0 curiosity 0.2986343028807692
episode 1218 frame 825991 score 2000.0 curiosity 0.4255598849715625
episode 1219 frame 826926 score 1600.0 curiosity 0.5993130865360584
episode 1220 frame 828079 score 2000.0 curiosity 0.10481709822065796
episode 1221 frame 828904 score 1400.0 curiosity 0.1626763774248469
episode 1222 frame 829640 score 600.0 curiosity 0.17523845043649525
episode 1223 frame 830825 score 2000.0 curiosity 0.20597998558457722
episode 1224 frame 831654 score 1000.0 curiosity 0.40718290638768095
episode 1225 frame 832351 score 600.0 curiosity 0.27962624543537873
episode 1226 frame 833214 score 1400.0 curiosity 0.8037655807505549
episode 1227 frame 833712 score 200.0 curiosity 0.5312536723706133
episode 1228 frame 834396 score 600.0 curiosity 0.6352508490622619
episode 1229 frame 835331 score 1400.0 curiosity 0.619643136315457
episode 1230 frame 835906 score 200.0 curiosity 0.2418858455167327
episode 1231 frame 836713 score 800.0 curiosity 0.4351500273733673
episode 1232 frame 837542 score 1000.0 curiosity 0.4599570438160978
episode 1233 frame 838361 score 1400.0 curiosity 0.11892519524405792
episode 1234 frame 839166 score 800.0 curiosity 0.33449800625222054
episode 1235 frame 840194 score 1200.0 curiosity 0.447755298922498
episode 1236 frame 840845 score 200.0 curiosity 0.3747035877255825
episode 1237 frame 841761 score 1400.0 curiosity 0.44722913361251626
episode 1238 frame 842729 score 1600.0 curiosity 0.34310171288366087
episode 1239 frame 843465 score 800.0 curiosity 0.37295723385782786
episode 1240 frame 844526 score 1800.0 curiosity 0.8952126264207452
episode 1241 frame 845306 score 1000.0 curiosity 0.3490942508959532
episode 1242 frame 846330 score 1400.0 curiosity 0.3289498548831909
episode 1243 frame 847224 score 1400.0 curiosity 0.25471349114471953
episode 1244 frame 848337 score 2000.0 curiosity 0.43116412400686616
episode 1245 frame 849162 score 1000.0 curiosity 0.4654147292112204
episode 1246 frame 850053 score 1200.0 curiosity 0.3353753707523462
episode 1247 frame 851265 score 2400.0 curiosity 0.2951619356745419
episode 1248 frame 852419 score 2200.0 curiosity 0.27233459315882236
